Category,Name,Author,KeyWords
Religious,Sadacharawibawiniya,Thotagamuwe Panchamolithissa Himi,"['Shasanika', ' Pali', ' Budu Guna', ' Bawana', ' Pooja Krama']"
Religious,Baudda Winchanawadaya,Hiripitiye Panchchakiththi Himi,"['Nuwana', ' Gaburu Daramaya', ' Mokshaya', ' Nirwanaya', ' Winchanaya']"
Religious,Manawa Aithiwasikam Pilibanda Baudda Chinthanaya,Acharya Palanwatte Dammathilaka Himi,"['Manushheya', ' Ithiwasikam', ' Samajaya', ' Aluth', ' wimukthiya']"
Religious,Bududahamin Pilibibu wana Pelabim Nyaya,Rajakeeya Panditha Balangoda Sobitha Himi,"['Mithya', ' Manusheeya', ' Winchanaya', ' HethuPala darmaya']"
Religious,Buddagama Mithyawa Saha Niwana,Ananda Senarathna,"['Drmaya', ' Nirwanaya', ' Aluth', ' Kopaya', ' Pooja Krama']"
Religious,Metherin Etherata,Madagoda Abayathissa Himi,"['Madagoda Abayathissa Himi', ' Ama Gagula', ' Karmaya', ' Wimukthiya', ' Saral Basa']"
Religious,Prabudda,Ahalepola Mahinda Himi,"['Punarbawaya', ' Patichchasamuppadaya', ' Athmaya', ' Sharshthriya', ' ']"
Religious,Sath Piyuma,Lakshman Kahatapitiya,"['Diyunuwa', ' Uthsahaya ', ' weera', ' Seelaya', ' Darama Margaya']"
Religious,Budun Wadala Kshana Wadaya,Kularathna Nakkawaththa,"['Thriwidya', ' Wimukthiya', ' Hethupala Darmaya', ' Maranaya', ' Gburu darmaya']"
Religious,Ama Gagula,Madagoda Abayathissa Himi,"['Madagoda Abayathissa Himi', ' Metherin Etherata', ' Snsaraya', ' Karma', ' Loka winashaya']"
Religious,Winaya Karma Potha,Rerukane Chandawimala Maha Sthawira,"['Winaya krma', ' Rerukane Chandawimala Maha Sthawira', ' Sirith Wirith', ' Bikshu', ' Katin Pinkam']"
Religious,Abhidarma Sammuchchiya,Henpitagedara Chanaseeha Himi,"['Abhidarmaya', ' Pali', ' Gaburu Darmaya', ' Mahayana Darmaya', ' Karma']"
Religious,Abidarmarartha Darma Sangrahaya,Rerukane Chandawimala Maha Sthawira,"['Rerukane Chandawimala Maha Sthawira', ' Kusal Akusal', ' Sitha', ' Abidarmaya', ' Gaburu Darmaya']"
Religious,Bikshu Bumikawa,Poojya Aththangane Sasanarathana Himi,"['Bikshu', ' Winaya Krma', ' Sirith Wirith', ' Shasanaya', ' Sarala Basa']"
Religious,Wishuddi Marga Maha Sannasa,Poojya Agalakada Sirisumana Himi,"['Wishuddi Marga Maha Sannasa', ' Parani', ' Saral Basa', ' Seelaya', ' Prachnawa']"
Religious,Wishuddi Margaya,Buddagosha Himi,"['Buddagosha Himi', ' Parani', ' Ethihasika', ' Atta Katha', ' Palai']"
Religious,Islam Ithihasaya,M.A Mohomad,"['Islam', ' Nani Nayaka Thuma', ' Ithihasika', ' Muhammad Thuma', ' Allah Dewiyan']"
Religious,Sathyaye Nimeshaya,Suho Okawa,"['Daramaya', ' Japanaya', ' Dew Lowa', ' Sathuta', ' Adayathmika Katha']"
Religious,Thawo Dahama,Acharya Polgaswatte Paramannda Himi,"['Two Darmaya', ' Sahithya', ' Sirith Wirith', ' Ethihasika', ' Purawurtha']"
Religious,Thawo ,S.H. Perera,"['Tawo Darmaya', ' Cheenaya', ' Bawana', ' Gaburu darmaya', ' Manusheeya']"
Religious,Nabi nayaka Charithaya,M.Mu. Uwais,"['Nabi Nayaka Thuma', ' Jiwitha Katha', ' Parani', ' Muslim', ' Sirith wirith']"
Religious,Bagawath Geethawa,H. Sangadasa Perera,"['Wishwaya', ' Lokaya', ' Indiya', ' Parani', ' Hindu']"
Religious,Maha Barathaya,Mahacharya Sucharitha Gamlath,"['Indiya', 'Hindu', ' Dewa ', ' Raja', ' Parani']"
Religious,Weda Geetha Sambawana,A.S Balasooriya,"['Chathurwedaya', ' Sobadahama', ' Parisaraya', ' Gadya', ' Padya']"
Religious,Upanishad,C.A Don Senewirathna,"['Hindu', ' Dewa ', ' Brahmana Sankalpa', ' Wedanawa', ' Darmaya']"
Religious,RamayanaYathra,Saman Chandrasingha,"['Premanwitha', ' Weera', ' Raja', ' Indiya', ' Parani']"
History,Seethawaka Urumaya,"Prishantha Gunawardhana, Gamani Adhikari","['Seethawaka', ' Prag ithihasika thorathuru', ' Rajya thanthraya', ' Wasthuwidyawa', ' Sahithya']"
